Date,Open,High,Low,Close,Volume,Inflation,Interest_Rate,GDP
01-01-2001,6222.50,6360.30,6029.30,6297.50,27872842000,73.50,5.92,493575.00
01-02-2001,6297.50,6309.90,5901.70,5917.90,23977042000,73.70,5.84,493575.00
01-03-2001,5917.90,6050.40,5279.60,5633.70,27732111000,73.90,5.40,493575.00
01-04-2001,5633.70,5995.40,5354.30,5967.00,23006315000,74.40,5.32,495602.00
01-05-2001,5966.90,5993.70,5690.50,5796.20,25749874000,74.90,5.52,495602.00
01-06-2001,5796.10,5981.80,5519.60,5642.50,26428794000,75.00,4.78,495602.00
01-07-2001,5642.50,5726.10,5260.50,5529.10,27218149000,74.50,5.29,497938.00
01-08-2001,5529.10,5644.20,5286.70,5345.00,24439402000,74.80,4.80,497938.00
01-09-2001,5345.00,5379.60,4219.80,4903.40,34128664000,75.00,4.85,497938.00
01-10-2001,4903.40,5279.80,4730.70,5039.70,29698603000,74.90,4.60,499278.00
01-11-2001,5039.70,5383.20,4988.30,5203.60,31085113000,74.90,3.58,499278.00
01-12-2001,5203.60,5411.20,5032.30,5217.40,19398298000,75.00,4.58,499278.00
01-01-2002,5217.40,5362.30,5052.80,5164.80,27209708000,74.80,3.77,500794.00
01-02-2002,5164.80,5238.00,5015.50,5101.00,28379876000,75.00,4.06,500794.00
01-03-2002,5101.00,5331.60,5101.00,5271.80,26766432000,75.20,4.04,500794.00
01-04-2002,5271.80,5292.30,5116.00,5165.60,31675891000,75.60,3.75,503433.00
01-05-2002,5165.60,5282.20,5016.90,5085.10,33410901000,75.80,3.93,503433.00
01-06-2002,5085.10,5085.10,4442.90,4656.40,31000538000,75.80,3.50,503433.00
01-07-2002,4656.40,4708.70,3625.90,4246.20,44350087000,75.60,3.86,506386.00
01-08-2002,4246.20,4466.40,3900.70,4227.30,28961622000,75.80,4.14,506386.00
01-09-2002,4227.30,4246.40,3609.90,3721.80,35426907000,76.00,3.87,506386.00
01-10-2002,3721.80,4197.50,3663.40,4039.70,36697812000,76.10,4.09,509728.00
01-11-2002,4039.70,4224.80,3953.30,4169.40,40891688000,76.10,3.65,509728.00
01-12-2002,4169.40,4218.60,3803.40,3940.40,25332268000,76.30,4.40,509728.00
01-01-2003,3940.40,4027.60,3391.50,3567.40,38479501000,75.90,3.80,514031.00
